school_code,region_code,full_name,address,longitude,latitude,provider,connection_type,contract_down_mbps,contract_up_mbps
VKO-UK-001,UK,"""Гимназия №38 имени Льва Гумилева""","г. Усть-Каменогорск, Касыма Кайсенова 10",82.629141,49.944266,Провайдер А,fiber,100,100
VKO-UK-002,UK,"КГКП ""Восточно-Казахстанское училище искусств имени народных артистов братьев Абдуллиных"" УО ВКО","г. Усть-Каменогорск, 30-ой Гвардейской дивизии 4",82.606230,49.964940,Провайдер А,fiber,100,100
VKO-UK-003,UK,"КГУ ""ОШ №30""","г. Усть-Каменогорск, Лихарева 3",82.606234,49.946878,Провайдер А,fiber,100,100
VKO-UK-004,UK,"КГУ ""ОШ №47""","г. Усть-Каменогорск, Жастар 31\3",82.609748,49.906687,Провайдер А,fiber,100,100
VKO-UK-005,UK,"КГУ ""Областная специализированная школа-лицей для детей, одаренных в области математики, физики, информатики""","г. Усть-Каменогорск, Новаторов 9А",82.645793,49.951509,Провайдер А,fiber,100,100
VKO-UK-006,UK,"КГУ ""Областная специализированная школа-лицей-интернат для одаренных детей""","г. Усть-Каменогорск, Западный 96",82.566197,49.994394,Провайдер А,fiber,100,100
VKO-UK-007,UK,"КГУ ""Общеобразовательная школа № 2""","г. Усть-Каменогорск, Мухамеджана Тынышпаева 113",82.571996,50.002544,Провайдер А,fiber,100,100
VKO-UK-008,UK,"КГУ ""Основная средняя школа №14""","г. Усть-Каменогорск, Ватутина 5",82.674826,49.927604,Провайдер А,fiber,100,100
VKO-UK-009,UK,"КГУ ""Основная средняя школа-интернат""","г. Усть-Каменогорск, Потанина 10",82.599944,49.960033,Провайдер А,fiber,100,100
VKO-UK-010,UK,"КГУ ""СШ № 1 имени Шакарима""","г. Усть-Каменогорск, КАСЫМ КАЙСЕНОВА 119/1",82.610678,49.949531,Провайдер А,fiber,100,100
VKO-UK-011,UK,"КГУ ""СШ № 15""","г. Усть-Каменогорск, Севастопольская 6",82.580613,49.964023,Провайдер А,fiber,100,100
VKO-UK-012,UK,"КГУ ""СШ № 17 имени М. Ауэзова""","г. Усть-Каменогорск, имени Е.П. Славского 42",82.598932,49.947826,Провайдер А,fiber,100,100
VKO-UK-013,UK,"КГУ ""СШ № 18""","г. Усть-Каменогорск, Согринская 138А",82.703130,50.016503,Провайдер А,fiber,100,100
VKO-UK-014,UK,"КГУ ""СШ № 22""","г. Усть-Каменогорск, Мухамеджана Тынышпаева 120",82.569084,50.007417,Провайдер А,fiber,100,100
VKO-UK-015,UK,"КГУ ""СШ № 23 имени М.Шаяхметова""","г. Усть-Каменогорск, Усть-Каменогорская 11",82.733361,50.029335,Провайдер А,fiber,100,100
VKO-UK-016,UK,"КГУ ""СШ № 27""","г. Усть-Каменогорск, Бажова 339/1",82.548467,50.011205,Провайдер А,fiber,100,100
VKO-UK-017,UK,"КГУ ""СШ № 35""","г. Усть-Каменогорск, Кабанбай батыра 132",82.637611,49.953627,Провайдер А,fiber,100,100
VKO-UK-018,UK,"КГУ ""СШ № 36""","г. Усть-Каменогорск, Кабанбай батыра 160",82.628086,49.955196,Провайдер А,fiber,100,100
VKO-UK-019,UK,"КГУ ""СШ №16 имени Заки Ахметова""","г. Усть-Каменогорск, Шакарима 89",82.611825,49.967177,Провайдер А,fiber,100,100
VKO-UK-020,UK,"КГУ ""СШ №32""","г. Усть-Каменогорск, Западный 14",82.575407,49.988825,Провайдер А,fiber,100,100
VKO-UK-021,UK,"КГУ ""СШ №39""","г. Усть-Каменогорск, Сағадат Нұрмағамбетов 12а",82.633746,49.949262,Провайдер А,fiber,100,100
VKO-UK-022,UK,"КГУ ""СШ №4"" имени Сагадата Нурмагамбетова""","г. Усть-Каменогорск, Мызы 19",82.639537,49.956314,Провайдер А,fiber,100,100
VKO-UK-023,UK,"КГУ ""СШ №5""","г. Усть-Каменогорск, Алтайская 36",82.661634,49.945617,Провайдер А,fiber,100,100
VKO-UK-024,UK,"КГУ ""СШ №6""","г. Усть-Каменогорск, Прибрежная 85/1",82.659911,49.921911,Провайдер А,fiber,100,100
VKO-UK-025,UK,"КГУ ""СШ №7""","г. Усть-Каменогорск, Гагарина 8",82.586298,49.972508,Провайдер А,fiber,100,100
VKO-UK-026,UK,"КГУ ""СШ №9""","г. Усть-Каменогорск, Абая 5в",82.611298,49.960725,Провайдер А,fiber,100,100
VKO-UK-027,UK,"КГУ ""Специальная школа-детский сад №14 (для слабовидящих детей)""","г. Усть-Каменогорск, Виноградова 10/1",82.586853,49.963303,Провайдер А,fiber,100,100
VKO-UK-028,UK,"КГУ ""Специальная школа-интернат №8""","г. Усть-Каменогорск, ПРИБРЕЖНАЯ 81/1",82.659864,49.922079,Провайдер А,fiber,100,100
VKO-UK-029,UK,"КГУ ""Средняя многопрофильная школа №37""","г. Усть-Каменогорск, Амурская 12",82.595080,49.964662,Провайдер А,fiber,100,100
VKO-UK-030,UK,"КГУ ""Средняя школа № 20 имени Ахмета Байтурсынова""","г. Усть-Каменогорск, Алматинская 54",82.599719,49.967695,Провайдер А,fiber,100,100
VKO-UK-031,UK,"КГУ ""Средняя школа № 26""","г. Усть-Каменогорск, Утепова 1",82.615690,49.897566,Провайдер А,fiber,100,100
VKO-UK-032,UK,"КГУ ""Средняя школа № 42""","г. Усть-Каменогорск, Воронина 34",82.659696,49.897946,Провайдер А,fiber,100,100
VKO-UK-033,UK,"КГУ ""Средняя школа №13""","г. Усть-Каменогорск, Правды 3",82.692123,49.893779,Провайдер А,fiber,100,100
VKO-UK-034,UK,"КГУ ""Средняя школа №8""","г. Усть-Каменогорск, Д.Бедного 26",82.568280,49.977494,Провайдер А,fiber,100,100
VKO-UK-035,UK,"КГУ ""ШЛ № 11""","г. Усть-Каменогорск, Тимирязева 177",82.603247,49.966431,Провайдер А,fiber,100,100
VKO-UK-036,UK,"КГУ ""Школа-лицей № 43 им. К.Нургалиева""","г. Усть-Каменогорск, Әміре Қашаубаева 7",82.604806,49.955914,Провайдер А,fiber,100,100
VKO-UK-037,UK,"КГУ ""Школа-центр дополнительного образования №19""","г. Усть-Каменогорск, Кабанбай батыра 74",82.651092,49.946447,Провайдер А,fiber,100,100
VKO-UK-038,UK,"КГУ ""Школа-центр дополнительного образования №29""","г. Усть-Каменогорск, Д.Менделеева 6",82.594913,49.970921,Провайдер А,fiber,100,100
VKO-UK-039,UK,"КГУ ""Школа-центр дополнительного образования №48""","г. Усть-Каменогорск, Увалиева 6",82.614477,49.892478,Провайдер А,fiber,100,100
VKO-UK-040,UK,КГУ «Валеологическая специализированная школа-комплекс для одаренных детей»,"г. Усть-Каменогорск, Абая 11/1",82.612906,49.962567,Провайдер А,fiber,100,100
VKO-UK-041,UK,КГУ «Лицей №44 имени Оралхана Бокея»,"г. Усть-Каменогорск, Каныша Сатпаева 8/3",82.618680,49.900816,Провайдер А,fiber,100,100
VKO-UK-042,UK,КГУ «Профильная школа»,"г. Усть-Каменогорск, Гастелло 14",82.609622,49.974672,Провайдер А,fiber,100,100
VKO-UK-043,UK,КГУ «Средняя школа №46»,"г. Усть-Каменогорск, Кокжал Барака 8/2",82.615000,49.893055,Провайдер А,fiber,100,100
VKO-UK-044,UK,КГУ «Школа-гимназия №10»,"г. Усть-Каменогорск, Потанина 25/2",82.601179,49.956912,Провайдер А,fiber,100,100
VKO-UK-045,UK,КГУ «Школа-лицей №3 имени Шокана Уалиханова»,"г. Усть-Каменогорск, Крылова 35",82.618200,49.944264,Провайдер А,fiber,100,100
VKO-UK-046,UK,КГУ «Школа-лицей №34»,"г. Усть-Каменогорск, Нурсултана Назарбаева 30/1",82.605920,49.962575,Провайдер А,fiber,100,100
VKO-UK-047,UK,КГУ ВКО специализированный лицей «БІЛІМ-ИННОВАЦИЯ» для одаренных детей,"г. Усть-Каменогорск, Лихарева 5",82.604789,49.946803,Провайдер А,fiber,100,100
VKO-UK-048,UK,"Учреждение ""Частная бизнес-школа ""Бриг""","г. Усть-Каменогорск, Протазанова 115",82.598777,49.949200,Провайдер А,fiber,100,100
VKO-UK-049,UK,"Школа, г. Усть-Каменогорск, Сатпаева 82","г. Усть-Каменогорск, Сатпаева 82",82.622802,49.917312,Провайдер А,fiber,100,100
VKO-UK-050,UK,"Школа, г. Усть-Каменогорск, Чкалова 34","г. Усть-Каменогорск, Чкалова 34",82.666718,49.951762,Провайдер А,fiber,100,100
VKO-UK-051,UK,"Школа, г. Усть-Каменогорск, ИМЕНИ ЖАКЫПБЕКА МАЛДЫБАЕВА 170","г. Усть-Каменогорск, ИМЕНИ ЖАКЫПБЕКА МАЛДЫБАЕВА 170",82.669155,49.918242,Провайдер А,fiber,100,100
VKO-UK-052,UK,"Школа, г. Усть-Каменогорск, Әміре Қашаубаева 30/1","г. Усть-Каменогорск, Әміре Қашаубаева 30/1",82.598631,49.955927,Провайдер А,fiber,100,100
VKO-UK-053,UK,"Школа, г. Усть-Каменогорск, Гоголя 28","г. Усть-Каменогорск, Гоголя 28",82.592131,49.976088,Провайдер А,fiber,100,100
VKO-UK-054,UK,"Школа, г. Усть-Каменогорск, К.Сатпаева 3/1","г. Усть-Каменогорск, К.Сатпаева 3/1",82.624657,49.896506,Провайдер А,fiber,100,100
